instance_id,base_commit,file,line,start_line,end_line,n_lines,current_statement,extracted_statement,reason
django__django-16631,9b224579875e30203d079cc2fee83b116d98eb78,django/contrib/auth/__init__.py,202,202,204,3,"session_hash_verified = session_hash and constant_time_compare(session_hash, user.get_session_auth_hash())","session_hash_verified = session_hash and constant_time_compare(
    session_hash, user.get_session_auth_hash()
)",whitespace/quote only
django__django-17084,f8c43aca467b7b0c4bb0a7fa41362f90b610b8df,django/db/models/sql/query.py,449,449,457,9,"if (isinstance(self.group_by, tuple) or self.is_sliced or has_existing_aggregation or refs_subquery or qualify or self.distinct or self.combinator):","if (
    isinstance(self.group_by, tuple)
    or self.is_sliced
    or has_existing_aggregation
    or refs_subquery
    or qualify
    or self.distinct
    or self.combinator
):",whitespace/quote only
pydata__xarray-3993,8cc34cb412ba89ebca12fc84f76a9e452628f1bc,xarray/core/dataarray.py,3484,3483,3485,3,"self, dim: Union[Hashable, Sequence[Hashable]], datetime_unit: str = None","def integrate(
    self, dim: Union[Hashable, Sequence[Hashable]], datetime_unit: str = None
) -> ""DataArray"":",same statement reformatted (x1.45)
pytest-dev__pytest-5787,955e54221008aba577ecbaefa15679f6777d3bf8,src/_pytest/reports.py,181,181,185,5,"return {'reprcrash': reprcrash, 'reprtraceback': reprtraceback, 'sections': rep.longrepr.sections}","return {
    ""reprcrash"": reprcrash,
    ""reprtraceback"": reprtraceback,
    ""sections"": rep.longrepr.sections,
}",same statement reformatted (x1.03)
pytest-dev__pytest-5787,955e54221008aba577ecbaefa15679f6777d3bf8,src/_pytest/reports.py,253,253,256,4,"exception_info = ReprExceptionInfo(reprtraceback=ReprTraceback(**reprtraceback), reprcrash=ReprFileLocation(**reprcrash))","exception_info = ReprExceptionInfo(
    reprtraceback=ReprTraceback(**reprtraceback),
    reprcrash=ReprFileLocation(**reprcrash),
)",same statement reformatted (x1.02)
scikit-learn__scikit-learn-12973,a7b8b9e9e16d4e15fabda5ae615086c2e1c47d8a,sklearn/linear_model/least_angle.py,1503,1503,1504,2,"X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(X, y, self.fit_intercept, self.normalize, self.copy_X)","X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(
    X, y, self.fit_intercept, self.normalize, self.copy_X)",whitespace/quote only
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,315,315,316,2,"members[name] = ClassAttribute(subject, name, INSTANCEATTR,","members[name] = ClassAttribute(subject, name, INSTANCEATTR,
                               '\n'.join(docstring))",same statement reformatted (x1.37)
sphinx-doc__sphinx-9658,232dbe41c5250eb7d559d40438c4743483e95f15,sphinx/ext/autodoc/mock.py,74,74,76,3,"attrs = {'__module__': module, '__display_name__': module + '.' + name, '__sphinx_decorator_args__': decorator_args}","attrs = {'__module__': module,
         '__display_name__': module + '.' + name,
         '__sphinx_decorator_args__': decorator_args}",whitespace/quote only
sympy__sympy-14248,9986b38181cdd556a3f3411e553864f11912244e,sympy/printing/str.py,307,307,308,2,"return '*'.join([self.parenthesize(arg, precedence(expr))","return '*'.join([self.parenthesize(arg, precedence(expr))
    for arg in expr.args])",same statement reformatted (x1.40)
sympy__sympy-14248,9986b38181cdd556a3f3411e553864f11912244e,sympy/printing/str.py,315,315,316,2,"return ' + '.join([self.parenthesize(arg, precedence(expr))","return ' + '.join([self.parenthesize(arg, precedence(expr))
    for arg in expr.args])",same statement reformatted (x1.39)
