instance_id,base_commit,file,line,csv_statement,repo_line,status,detail
pydata__xarray-4687,d3b6aa6d8b997df115a53c001d00222a0f92f63a,xarray/core/computation.py,1730,"def where(cond, x, y):","def where(cond, x, y):",match,
pydata__xarray-4687,d3b6aa6d8b997df115a53c001d00222a0f92f63a,xarray/core/computation.py,1812,"apply_ufunc(..., dask=""allowed"") without keep_attrs=keep_attrs",return apply_ufunc(,paraphrase,recorded statement is shorthand
pydata__xarray-6599,6bb2b855498b5c68d7cca8cceb710365d58e6048,xarray/core/computation.py,1936,"if x.dtype.kind in ""mM"":","if x.dtype.kind in ""mM"":",match,
pylint-dev__pylint-6386,754b487f4d892e3d4872b6fc7468a71db4e31c13,pylint/config/utils.py,221,if not argument.startswith('--'):,"if not argument.startswith(""--""):",quote_diff,
pylint-dev__pylint-6528,273a8b25620467c1e5686aa8d2a1dbb8c02c78d0,pylint/lint/pylinter.py,"[567, 568]","@staticmethod
def _discover_files(files_or_modules: Sequence[str]) -> Iterator[str]:",,error:bad_line,
pylint-dev__pylint-8898,1f8c4d9eb185c16a2c1d881c054f015e1c2eb334,pylint/config/argument.py,117,for pattern in _csv_transformer(value):,for pattern in _csv_transformer(value):,match,
pytest-dev__pytest-5787,955e54221008aba577ecbaefa15679f6777d3bf8,src/_pytest/reports.py,181,"return {'reprcrash': reprcrash, 'reprtraceback': reprtraceback, 'sections': rep.longrepr.sections}",return {,mismatch,
pytest-dev__pytest-5787,955e54221008aba577ecbaefa15679f6777d3bf8,src/_pytest/reports.py,253,"exception_info = ReprExceptionInfo(reprtraceback=ReprTraceback(**reprtraceback), reprcrash=ReprFileLocation(**reprcrash))",exception_info = ReprExceptionInfo(,mismatch,
pytest-dev__pytest-5840,73c5b7f4b11a81e971f7d1bb18072e06a87060f4,src/_pytest/pathlib.py,346,return type(path)(normcase(str(path.realpath()))),return type(path)(normcase(str(path.realpath()))),match,
pytest-dev__pytest-7205,5e7f1ab4bf58e473e5d7f878eb2b499d7deabd29,src/_pytest/setuponly.py,69,"tw.write(""[{}]"".format(fixturedef.cached_param))","tw.write(""[{}]"".format(fixturedef.cached_param))",match,
scikit-learn__scikit-learn-12973,a7b8b9e9e16d4e15fabda5ae615086c2e1c47d8a,sklearn/linear_model/least_angle.py,1503,"X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(X, y, self.fit_intercept, self.normalize, self.copy_X)","X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(",multiline,spans 2 lines
scikit-learn__scikit-learn-14496,d49a6f13af2f22228d430ac64ac2b518937800d0,sklearn/cluster/optics_.py,440,"min_samples = max(2, min_samples * n_samples)","min_samples = max(2, min_samples * n_samples)",match,
scikit-learn__scikit-learn-26194,e886ce4e1444c61b865e7839c9cff5464ee20ace,sklearn/metrics/_ranking.py,1086,"thresholds = np.r_[thresholds[0] + 1, thresholds]","thresholds = np.r_[thresholds[0] + 1, thresholds]",match,
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,310,if analyzer:,if analyzer:,match,
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,312,namespace = '.'.join(objpath),namespace = '.'.join(objpath),match,
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,314,if namespace == ns and name not in members:,if namespace == ns and name not in members:,match,
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,315,"members[name] = ClassAttribute(subject, name, INSTANCEATTR,","members[name] = ClassAttribute(subject, name, INSTANCEATTR,",match,
sphinx-doc__sphinx-9658,232dbe41c5250eb7d559d40438c4743483e95f15,sphinx/ext/autodoc/mock.py,43,self.__qualname__ = '',self.__qualname__ = '',match,
sphinx-doc__sphinx-9658,232dbe41c5250eb7d559d40438c4743483e95f15,sphinx/ext/autodoc/mock.py,74,"attrs = {'__module__': module, '__display_name__': ...}","attrs = {'__module__': module,",paraphrase,recorded statement is shorthand
sphinx-doc__sphinx-9711,81a4fd973d4cfcb25d01a7b0be62cdb28f82406d,sphinx/extension.py,54,if extension.version == 'unknown version' or reqversion > extension.version:,if extension.version == 'unknown version' or reqversion > extension.version:,match,
