instance_id,base_commit,file,line,start_line,end_line,n_lines,current_statement,extracted_statement,note
pytest-dev__pytest-5787,955e54221008aba577ecbaefa15679f6777d3bf8,src/_pytest/reports.py,253,253,256,4,"exception_info = ReprExceptionInfo(reprtraceback=ReprTraceback(**reprtraceback), reprcrash=ReprFileLocation(**reprcrash))","exception_info = ReprExceptionInfo(
    reprtraceback=ReprTraceback(**reprtraceback),
    reprcrash=ReprFileLocation(**reprcrash),
)",multiline; current_not_contained
pytest-dev__pytest-5840,73c5b7f4b11a81e971f7d1bb18072e06a87060f4,src/_pytest/pathlib.py,346,346,346,1,return type(path)(normcase(str(path.realpath()))),return type(path)(normcase(str(path.realpath()))),
pytest-dev__pytest-7205,5e7f1ab4bf58e473e5d7f878eb2b499d7deabd29,src/_pytest/setuponly.py,69,69,69,1,"tw.write(""[{}]"".format(fixturedef.cached_param))","tw.write(""[{}]"".format(fixturedef.cached_param))",
scikit-learn__scikit-learn-12973,a7b8b9e9e16d4e15fabda5ae615086c2e1c47d8a,sklearn/linear_model/least_angle.py,1503,1503,1504,2,"X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(X, y, self.fit_intercept, self.normalize, self.copy_X)","X, y, Xmean, ymean, Xstd = LinearModel._preprocess_data(
    X, y, self.fit_intercept, self.normalize, self.copy_X)",multiline; current_not_contained
scikit-learn__scikit-learn-14496,d49a6f13af2f22228d430ac64ac2b518937800d0,sklearn/cluster/optics_.py,440,440,440,1,"min_samples = max(2, min_samples * n_samples)","min_samples = max(2, min_samples * n_samples)",
scikit-learn__scikit-learn-26194,e886ce4e1444c61b865e7839c9cff5464ee20ace,sklearn/metrics/_ranking.py,1086,1086,1086,1,"thresholds = np.r_[thresholds[0] + 1, thresholds]","thresholds = np.r_[thresholds[0] + 1, thresholds]",
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,310,310,310,1,if analyzer:,if analyzer:,
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,312,312,312,1,namespace = '.'.join(objpath),namespace = '.'.join(objpath),
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,314,314,314,1,if namespace == ns and name not in members:,if namespace == ns and name not in members:,
sphinx-doc__sphinx-8548,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,sphinx/ext/autodoc/importer.py,315,315,316,2,"members[name] = ClassAttribute(subject, name, INSTANCEATTR,","members[name] = ClassAttribute(subject, name, INSTANCEATTR,
                               '\n'.join(docstring))",multiline
sphinx-doc__sphinx-9658,232dbe41c5250eb7d559d40438c4743483e95f15,sphinx/ext/autodoc/mock.py,43,43,43,1,self.__qualname__ = '',self.__qualname__ = '',
sphinx-doc__sphinx-9658,232dbe41c5250eb7d559d40438c4743483e95f15,sphinx/ext/autodoc/mock.py,74,74,76,3,"attrs = {'__module__': module, '__display_name__': ...}","attrs = {'__module__': module,
         '__display_name__': module + '.' + name,
         '__sphinx_decorator_args__': decorator_args}",multiline; current_not_contained
sphinx-doc__sphinx-9711,81a4fd973d4cfcb25d01a7b0be62cdb28f82406d,sphinx/extension.py,54,54,54,1,if extension.version == 'unknown version' or reqversion > extension.version:,if extension.version == 'unknown version' or reqversion > extension.version:,
