instance,claude-opus,gemini-3.1-flash-lite,gpt-5-3-codex,minimax-m3
matplotlib__matplotlib-20859,3/3,2/3,2/3,3/3
matplotlib__matplotlib-22719,3/3,0/3,2/3,2/3
matplotlib__matplotlib-23299,0/3,0/3,0/3,0/3
matplotlib__matplotlib-24026,3/3,3/3,2/3,3/3
matplotlib__matplotlib-24637,0/3,1/3,0/3,0/3
matplotlib__matplotlib-25287,3/3,1/3,3/3,3/3
matplotlib__matplotlib-25311,3/3,0/3,3/3,3/3
matplotlib__matplotlib-25479,3/3,0/3,2/3,0/3
matplotlib__matplotlib-25960,3/3,0/3,0/3,3/3
matplotlib__matplotlib-26208,0/3,0/3,0/3,0/3
matplotlib__matplotlib-26466,3/3,3/3,3/3,3/3
mwaskom__seaborn-3187,2/3,1/3,3/3,1/3
psf__requests-2317,3/3,3/3,3/3,3/3
psf__requests-2931,3/3,0/3,3/3,3/3
pydata__xarray-3095,3/3,0/3,2/3,3/3
pydata__xarray-3305,3/3,0/3,2/3,3/3
pydata__xarray-3993,3/3,3/3,3/3,3/3
pydata__xarray-4687,3/3,0/3,1/3,2/3
pydata__xarray-6599,1/3,0/3,1/3,0/3
pydata__xarray-6938,1/3,0/3,0/3,0/3
pydata__xarray-6992,3/3,1/3,0/3,0/3
pydata__xarray-7229,3/3,0/3,0/3,2/3
pylint-dev__pylint-4604,3/3,0/3,2/3,1/3
pylint-dev__pylint-6386,3/3,0/3,0/3,0/3
pylint-dev__pylint-6528,1/3,0/3,0/3,0/3
pylint-dev__pylint-8898,3/3,0/3,3/3,3/3
pytest-dev__pytest-10051,2/3,0/3,0/3,0/3
pytest-dev__pytest-5787,1/3,0/3,2/3,2/3
pytest-dev__pytest-5840,1/3,3/3,1/3,1/3
pytest-dev__pytest-6197,3/3,0/3,0/3,1/3
pytest-dev__pytest-7205,3/3,3/3,3/3,2/3
pytest-dev__pytest-7236,3/3,0/3,1/3,0/3
pytest-dev__pytest-7324,3/3,2/3,3/3,3/3
pytest-dev__pytest-7490,0/3,0/3,0/3,0/3
pytest-dev__pytest-7571,0/3,0/3,2/3,1/3
pytest-dev__pytest-8399,3/3,3/3,2/3,3/3
scikit-learn__scikit-learn-10297,3/3,2/3,3/3,3/3
scikit-learn__scikit-learn-12973,2/3,0/3,0/3,1/3
scikit-learn__scikit-learn-13124,0/3,2/3,0/3,2/3
scikit-learn__scikit-learn-13142,3/3,0/3,0/3,3/3
scikit-learn__scikit-learn-14496,3/3,3/3,3/3,3/3
scikit-learn__scikit-learn-14629,0/3,0/3,0/3,0/3
scikit-learn__scikit-learn-14983,2/3,3/3,3/3,1/3
scikit-learn__scikit-learn-25747,0/3,3/3,2/3,1/3
scikit-learn__scikit-learn-25931,3/3,0/3,3/3,2/3
scikit-learn__scikit-learn-25973,3/3,2/3,3/3,2/3
scikit-learn__scikit-learn-26194,3/3,3/3,3/3,2/3
scikit-learn__scikit-learn-9288,3/3,0/3,1/3,2/3
sphinx-doc__sphinx-10449,3/3,0/3,0/3,0/3
sphinx-doc__sphinx-11510,2/3,3/3,0/3,0/3
sphinx-doc__sphinx-7462,3/3,1/3,3/3,2/3
sphinx-doc__sphinx-7910,3/3,3/3,3/3,2/3
sphinx-doc__sphinx-8056,3/3,0/3,0/3,1/3
sphinx-doc__sphinx-8120,3/3,3/3,2/3,2/3
sphinx-doc__sphinx-8475,3/3,2/3,2/3,2/3
sphinx-doc__sphinx-8548,1/3,0/3,0/3,0/3
sphinx-doc__sphinx-8551,0/3,0/3,0/3,1/3
sphinx-doc__sphinx-9320,3/3,0/3,3/3,2/3
sphinx-doc__sphinx-9602,2/3,0/3,1/3,2/3
sphinx-doc__sphinx-9658,0/3,0/3,2/3,1/3
sphinx-doc__sphinx-9711,3/3,1/3,2/3,3/3
sympy__sympy-13031,3/3,0/3,0/3,2/3
sympy__sympy-13877,0/3,0/3,0/3,0/3
sympy__sympy-14248,3/3,0/3,3/3,0/3
sympy__sympy-15345,0/3,1/3,1/3,2/3
sympy__sympy-15976,0/3,0/3,0/3,2/3
sympy__sympy-16597,3/3,3/3,3/3,3/3
sympy__sympy-16792,3/3,0/3,2/3,2/3
sympy__sympy-17318,3/3,0/3,1/3,2/3
sympy__sympy-18698,2/3,0/3,0/3,3/3
sympy__sympy-19495,3/3,3/3,2/3,3/3
sympy__sympy-19783,1/3,0/3,1/3,2/3
sympy__sympy-20438,1/3,0/3,0/3,0/3
sympy__sympy-21379,3/3,0/3,0/3,1/3
sympy__sympy-21596,3/3,0/3,0/3,3/3
sympy__sympy-21930,3/3,3/3,2/3,1/3
sympy__sympy-22080,1/3,0/3,0/3,0/3
sympy__sympy-24562,3/3,3/3,1/3,3/3
