model,run,instance
gemini-3.1-flash-lite,run1,sphinx-doc__sphinx-8551
minimax-m3,run3,sphinx-doc__sphinx-8551
gemini-3.1-flash-lite,run1,sphinx-doc__sphinx-9320
gemini-3.1-flash-lite,run2,sphinx-doc__sphinx-9320
gemini-3.1-flash-lite,run3,sphinx-doc__sphinx-9320
minimax-m3,run3,sphinx-doc__sphinx-9602
claude-opus,run1,sphinx-doc__sphinx-9658
claude-opus,run2,sphinx-doc__sphinx-9658
claude-opus,run3,sphinx-doc__sphinx-9658
minimax-m3,run3,sphinx-doc__sphinx-9658
gpt-5-3-codex,run1,sympy__sympy-13031
gpt-5-3-codex,run2,sympy__sympy-13031
gpt-5-3-codex,run3,sympy__sympy-13031
claude-opus,run1,sympy__sympy-13877
claude-opus,run2,sympy__sympy-13877
claude-opus,run3,sympy__sympy-13877
gpt-5-3-codex,run1,sympy__sympy-13877
gpt-5-3-codex,run3,sympy__sympy-13877
minimax-m3,run1,sympy__sympy-13877
minimax-m3,run2,sympy__sympy-13877
minimax-m3,run3,sympy__sympy-13877
claude-opus,run1,sympy__sympy-15345
claude-opus,run2,sympy__sympy-15345
claude-opus,run3,sympy__sympy-15345
gemini-3.1-flash-lite,run1,sympy__sympy-15345
gemini-3.1-flash-lite,run3,sympy__sympy-15345
gpt-5-3-codex,run2,sympy__sympy-15345
gpt-5-3-codex,run3,sympy__sympy-15345
minimax-m3,run1,sympy__sympy-15345
claude-opus,run1,sympy__sympy-15976
claude-opus,run2,sympy__sympy-15976
claude-opus,run3,sympy__sympy-15976
gpt-5-3-codex,run1,sympy__sympy-15976
minimax-m3,run2,sympy__sympy-17318
claude-opus,run1,sympy__sympy-19783
claude-opus,run3,sympy__sympy-19783
gemini-3.1-flash-lite,run2,sympy__sympy-21379
